id_artigo,loja,qtd_disponivel,distrito
13,"Évora Plaza",6,Évora
13,"Fórum Algarve",24,Faro
13,"Fórum Aveiro",25,Aveiro
13,"Fórum Coimbra",31,Coimbra
13,"Gaia Shopping",12,Porto
13,"Leiria Shopping",8,Leiria
13,"Norte Shopping",13,Porto
13,"Nosso Shopping",3,"Vila Real"
13,"Palácio do Gelo",24,Viseu
13,"Santa Catarina",0,Porto
13,"Vasgo da Gama",27,Lisboa
14,Aeroporto,22,Lisboa
14,Amoreiras,2,Lisboa
14,"Braga Parque",4,Braga
14,"CC Setúbal",21,Setúbal
14,Colombo,25,Lisboa
14,"Estação Viana",22,"Viana do Castelo"
14,"Évora Plaza",30,Évora
14,"Fórum Algarve",10,Faro
14,"Fórum Aveiro",14,Aveiro
14,"Fórum Coimbra",0,Coimbra
14,"Gaia Shopping",18,Porto
14,"Leiria Shopping",13,Leiria
14,"Norte Shopping",10,Porto
14,"Nosso Shopping",18,"Vila Real"
14,"Palácio do Gelo",26,Viseu
14,"Santa Catarina",13,Porto
14,"Vasgo da Gama",27,Lisboa
15,Aeroporto,13,Lisboa
15,Amoreiras,30,Lisboa
15,"Braga Parque",0,Braga
15,"CC Setúbal",18,Setúbal
15,Colombo,16,Lisboa
15,"Estação Viana",2,"Viana do Castelo"
15,"Évora Plaza",17,Évora
15,"Fórum Algarve",4,Faro
15,"Fórum Aveiro",14,Aveiro
15,"Fórum Coimbra",15,Coimbra
15,"Gaia Shopping",28,Porto
15,"Leiria Shopping",0,Leiria
15,"Norte Shopping",19,Porto
15,"Nosso Shopping",27,"Vila Real"
15,"Palácio do Gelo",26,Viseu
15,"Santa Catarina",16,Porto
15,"Vasgo da Gama",9,Lisboa
16,Aeroporto,9,Lisboa
16,Amoreiras,15,Lisboa
16,"Braga Parque",30,Braga
16,"CC Setúbal",18,Setúbal
16,Colombo,23,Lisboa
16,"Estação Viana",10,"Viana do Castelo"
16,"Évora Plaza",9,Évora
16,"Fórum Algarve",14,Faro
16,"Fórum Aveiro",30,Aveiro
16,"Fórum Coimbra",14,Coimbra
16,"Gaia Shopping",0,Porto
16,"Leiria Shopping",5,Leiria
16,"Norte Shopping",15,Porto
16,"Nosso Shopping",7,"Vila Real"
16,"Palácio do Gelo",0,Viseu
16,"Santa Catarina",0,Porto
16,"Vasgo da Gama",31,Lisboa
17,Aeroporto,28,Lisboa
17,Amoreiras,27,Lisboa
17,"Braga Parque",10,Braga
17,"CC Setúbal",10,Setúbal
17,Colombo,15,Lisboa
17,"Estação Viana",14,"Viana do Castelo"
17,"Évora Plaza",23,Évora
17,"Fórum Algarve",25,Faro
17,"Fórum Aveiro",27,Aveiro
17,"Fórum Coimbra",13,Coimbra
17,"Gaia Shopping",11,Porto
17,"Leiria Shopping",0,Leiria
17,"Norte Shopping",4,Porto
17,"Nosso Shopping",0,"Vila Real"
17,"Palácio do Gelo",13,Viseu
17,"Santa Catarina",2,Porto
17,"Vasgo da Gama",5,Lisboa
18,Aeroporto,31,Lisboa
18,Amoreiras,0,Lisboa
18,"Braga Parque",16,Braga
18,"CC Setúbal",17,Setúbal
18,Colombo,0,Lisboa
18,"Estação Viana",0,"Viana do Castelo"
18,"Évora Plaza",25,Évora
18,"Fórum Algarve",5,Faro
18,"Fórum Aveiro",15,Aveiro
18,"Fórum Coimbra",8,Coimbra
18,"Gaia Shopping",8,Porto
18,"Leiria Shopping",9,Leiria
18,"Norte Shopping",10,Porto
18,"Nosso Shopping",26,"Vila Real"
18,"Palácio do Gelo",22,Viseu
18,"Santa Catarina",0,Porto
18,"Vasgo da Gama",29,Lisboa
19,Aeroporto,4,Lisboa
19,Amoreiras,4,Lisboa
19,"Braga Parque",31,Braga
19,"CC Setúbal",22,Setúbal
19,Colombo,9,Lisboa
19,"Estação Viana",0,"Viana do Castelo"
19,"Évora Plaza",17,Évora
19,"Fórum Algarve",29,Faro
19,"Fórum Aveiro",16,Aveiro
19,"Fórum Coimbra",29,Coimbra
19,"Gaia Shopping",0,Porto
19,"Leiria Shopping",0,Leiria
19,"Norte Shopping",26,Porto
19,"Nosso Shopping",22,"Vila Real"
19,"Palácio do Gelo",14,Viseu
19,"Santa Catarina",0,Porto
19,"Vasgo da Gama",30,Lisboa
20,Aeroporto,17,Lisboa
20,Amoreiras,23,Lisboa
20,"Braga Parque",28,Braga
20,"CC Setúbal",9,Setúbal
20,Colombo,0,Lisboa
20,"Estação Viana",25,"Viana do Castelo"
20,"Évora Plaza",14,Évora
20,"Fórum Algarve",2,Faro
20,"Fórum Aveiro",9,Aveiro
20,"Fórum Coimbra",14,Coimbra
20,"Gaia Shopping",9,Porto
20,"Leiria Shopping",0,Leiria
20,"Norte Shopping",0,Porto
20,"Nosso Shopping",11,"Vila Real"
20,"Palácio do Gelo",2,Viseu
20,"Santa Catarina",20,Porto
20,"Vasgo da Gama",22,Lisboa
21,Aeroporto,28,Lisboa
21,Amoreiras,21,Lisboa
21,"Braga Parque",22,Braga
21,"CC Setúbal",8,Setúbal
21,Colombo,24,Lisboa
21,"Estação Viana",0,"Viana do Castelo"
21,"Évora Plaza",20,Évora
21,"Fórum Algarve",18,Faro
21,"Fórum Aveiro",0,Aveiro
21,"Fórum Coimbra",0,Coimbra
21,"Gaia Shopping",16,Porto
21,"Leiria Shopping",19,Leiria
21,"Norte Shopping",14,Porto
21,"Nosso Shopping",19,"Vila Real"
21,"Palácio do Gelo",20,Viseu
21,"Santa Catarina",31,Porto
21,"Vasgo da Gama",30,Lisboa
22,Aeroporto,21,Lisboa
22,Amoreiras,20,Lisboa
22,"Braga Parque",11,Braga
22,"CC Setúbal",19,Setúbal
22,Colombo,1,Lisboa
22,"Estação Viana",12,"Viana do Castelo"
22,"Évora Plaza",30,Évora
22,"Fórum Algarve",11,Faro
22,"Fórum Aveiro",28,Aveiro
22,"Fórum Coimbra",4,Coimbra
22,"Gaia Shopping",18,Porto
22,"Leiria Shopping",6,Leiria
22,"Norte Shopping",19,Porto
22,"Nosso Shopping",3,"Vila Real"
22,"Palácio do Gelo",21,Viseu
22,"Santa Catarina",0,Porto
22,"Vasgo da Gama",20,Lisboa
23,Aeroporto,0,Lisboa
23,Amoreiras,8,Lisboa
23,"Braga Parque",0,Braga
23,"CC Setúbal",3,Setúbal
23,Colombo,1,Lisboa
23,"Estação Viana",14,"Viana do Castelo"
23,"Évora Plaza",14,Évora
23,"Fórum Algarve",13,Faro
23,"Fórum Aveiro",18,Aveiro
23,"Fórum Coimbra",9,Coimbra
23,"Gaia Shopping",8,Porto
23,"Leiria Shopping",14,Leiria
23,"Norte Shopping",18,Porto
23,"Nosso Shopping",17,"Vila Real"
23,"Palácio do Gelo",30,Viseu
23,"Santa Catarina",15,Porto
23,"Vasgo da Gama",2,Lisboa
24,Aeroporto,26,Lisboa
24,Amoreiras,18,Lisboa
24,"Braga Parque",14,Braga
24,"CC Setúbal",15,Setúbal
24,Colombo,10,Lisboa
24,"Estação Viana",29,"Viana do Castelo"
24,"Évora Plaza",2,Évora
24,"Fórum Algarve",8,Faro
24,"Fórum Aveiro",24,Aveiro
24,"Fórum Coimbra",6,Coimbra
24,"Gaia Shopping",1,Porto
24,"Leiria Shopping",2,Leiria
24,"Norte Shopping",26,Porto
24,"Nosso Shopping",16,"Vila Real"
24,"Palácio do Gelo",2,Viseu
24,"Santa Catarina",27,Porto
24,"Vasgo da Gama",30,Lisboa
25,Aeroporto,17,Lisboa
25,Amoreiras,24,Lisboa
25,"Braga Parque",1,Braga
25,"CC Setúbal",0,Setúbal
25,Colombo,23,Lisboa
25,"Estação Viana",7,"Viana do Castelo"
25,"Évora Plaza",23,Évora
25,"Fórum Algarve",0,Faro
25,"Fórum Aveiro",31,Aveiro
25,"Fórum Coimbra",14,Coimbra
25,"Gaia Shopping",11,Porto
25,"Leiria Shopping",11,Leiria
25,"Norte Shopping",15,Porto
25,"Nosso Shopping",0,"Vila Real"
25,"Palácio do Gelo",13,Viseu
25,"Santa Catarina",28,Porto
25,"Vasgo da Gama",0,Lisboa
26,Aeroporto,27,Lisboa
26,Amoreiras,2,Lisboa
26,"Braga Parque",8,Braga
26,"CC Setúbal",6,Setúbal
26,Colombo,22,Lisboa
26,"Estação Viana",0,"Viana do Castelo"
26,"Évora Plaza",1,Évora
26,"Fórum Algarve",16,Faro
26,"Fórum Aveiro",10,Aveiro
26,"Fórum Coimbra",18,Coimbra
26,"Gaia Shopping",1,Porto
26,"Leiria Shopping",28,Leiria
26,"Norte Shopping",16,Porto
26,"Nosso Shopping",28,"Vila Real"
26,"Palácio do Gelo",10,Viseu
26,"Santa Catarina",30,Porto
26,"Vasgo da Gama",5,Lisboa
27,Aeroporto,0,Lisboa
27,Amoreiras,11,Lisboa
27,"Braga Parque",0,Braga
27,"CC Setúbal",14,Setúbal
27,Colombo,1,Lisboa
27,"Estação Viana",0,"Viana do Castelo"
27,"Évora Plaza",0,Évora
27,"Fórum Algarve",27,Faro
27,"Fórum Aveiro",3,Aveiro
27,"Fórum Coimbra",25,Coimbra
27,"Gaia Shopping",2,Porto
27,"Leiria Shopping",9,Leiria
27,"Norte Shopping",5,Porto
27,"Nosso Shopping",11,"Vila Real"
27,"Palácio do Gelo",18,Viseu
27,"Santa Catarina",9,Porto
27,"Vasgo da Gama",29,Lisboa
28,Aeroporto,9,Lisboa
28,Amoreiras,0,Lisboa
28,"Braga Parque",27,Braga
28,"CC Setúbal",10,Setúbal
28,Colombo,12,Lisboa
28,"Estação Viana",14,"Viana do Castelo"
28,"Évora Plaza",3,Évora
28,"Fórum Algarve",11,Faro
28,"Fórum Aveiro",19,Aveiro
28,"Fórum Coimbra",10,Coimbra
28,"Gaia Shopping",5,Porto
28,"Leiria Shopping",11,Leiria
28,"Norte Shopping",20,Porto
28,"Nosso Shopping",6,"Vila Real"
28,"Palácio do Gelo",19,Viseu
28,"Santa Catarina",0,Porto
28,"Vasgo da Gama",4,Lisboa
29,Aeroporto,5,Lisboa
29,Amoreiras,28,Lisboa
29,"Braga Parque",0,Braga
29,"CC Setúbal",9,Setúbal
29,Colombo,6,Lisboa
29,"Estação Viana",4,"Viana do Castelo"
29,"Évora Plaza",0,Évora
29,"Fórum Algarve",14,Faro
29,"Fórum Aveiro",10,Aveiro
29,"Fórum Coimbra",0,Coimbra
29,"Gaia Shopping",18,Porto
29,"Leiria Shopping",4,Leiria
29,"Norte Shopping",30,Porto
29,"Nosso Shopping",0,"Vila Real"
29,"Palácio do Gelo",0,Viseu
29,"Santa Catarina",0,Porto
29,"Vasgo da Gama",12,Lisboa
30,Aeroporto,25,Lisboa
30,Amoreiras,11,Lisboa
30,"Braga Parque",21,Braga
30,"CC Setúbal",27,Setúbal
30,Colombo,3,Lisboa
30,"Estação Viana",21,"Viana do Castelo"
30,"Évora Plaza",4,Évora
30,"Fórum Algarve",24,Faro
30,"Fórum Aveiro",4,Aveiro
30,"Fórum Coimbra",16,Coimbra
30,"Gaia Shopping",14,Porto
30,"Leiria Shopping",0,Leiria
30,"Norte Shopping",17,Porto
30,"Nosso Shopping",19,"Vila Real"
30,"Palácio do Gelo",8,Viseu
30,"Santa Catarina",5,Porto
30,"Vasgo da Gama",16,Lisboa
